"","Date","HomeTeam","AwayTeam","FTHG","FTAG","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","WHH","WHD","WHA"
"107","11/11/12","Chelsea","Liverpool",1,1,1.95,3.5,4,1.95,3.7,3.9,1.95,3.7,3.9,1.85,3.45,4,1.91,3.4,4,2,3.2,4
"108","11/11/12","Man City","Tottenham",2,1,1.57,4,6,1.65,4.2,5.25,1.65,4.2,5.25,1.6,3.7,5.4,1.62,3.75,5.5,1.62,3.75,5.5
"100","10/11/12","Arsenal","Fulham",3,3,1.53,4.2,6,1.57,4.1,6.25,1.57,4.1,6.25,1.5,4,6.1,1.5,4,6.5,1.57,3.5,7
"101","10/11/12","Aston Villa","Man United",2,3,7,4.5,1.44,7,4,1.48,7,4,1.48,6.1,4,1.5,6.5,4,1.5,7,4,1.5
"90","03/11/12","Fulham","Everton",2,2,2.75,3.4,2.5,2.65,3.25,2.6,2.65,3.25,2.6,2.5,3.3,2.65,2.62,3.3,2.6,2.62,3.4,2.6
"91","03/11/12","Man United","Arsenal",2,1,1.7,3.8,5,1.7,4,5,1.7,4,5,1.65,3.6,5.1,1.67,3.75,5,1.67,4,4.8
"95","03/11/12","Tottenham","Wigan",0,1,1.5,4.33,6.5,1.44,4.33,7,1.44,4.33,7,1.4,4.4,7.3,1.44,4.33,7,1.44,4.33,7
"86","28/10/12","Chelsea","Man United",2,3,2.4,3.4,2.9,2.35,3.4,3.1,2.35,3.4,3.1,2.4,3.3,2.75,2.4,3.3,2.88,2.3,3.3,2.9
"87","28/10/12","Everton","Liverpool",2,2,2.6,3.3,2.75,2.75,3.3,2.65,2.75,3.3,2.65,2.4,3.3,2.75,2.6,3.2,2.7,2.6,3.2,2.6
"70","20/10/12","Fulham","Aston Villa",1,0,1.8,3.6,4.5,1.75,3.6,4.5,1.75,3.6,4.5,1.85,3.45,4,1.8,3.5,4.5,1.85,3.3,4.5
"75","20/10/12","Tottenham","Chelsea",2,4,2.5,3.4,2.75,2.6,3.4,2.75,2.6,3.4,2.75,2.6,3.2,2.6,2.5,3.3,2.62,2.7,3,2.8
"69","07/10/12","Tottenham","Aston Villa",2,0,1.44,4.33,7.5,1.48,4.33,6,1.48,4.33,6,1.43,4.1,7.3,1.44,4,8,1.5,3.6,8
"65","06/10/12","Wigan","Everton",2,2,4.2,3.4,1.91,3.75,3.3,2,3.75,3.3,2,3.5,3.3,2.05,3.75,3.4,2,4,3.1,2.05
"50","29/09/12","Arsenal","Chelsea",1,2,2.1,3.4,3.5,2.15,3.5,3.5,2.15,3.5,3.5,2.25,3.2,2.9,2.1,3.3,3.4,2.25,3.1,3.4
"52","29/09/12","Fulham","Man City",1,2,4.33,3.6,1.83,4.5,3.6,1.85,4.5,3.6,1.85,4,3.4,1.8,4.5,3.5,1.8,4.5,3.1,1.91
