"","Date","HomeTeam","AwayTeam","FTHG","FTAG","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","WHH","WHD","WHA"
"1393","21/11/10","Fulham","Man City",1,4,3.2,3.1,2.4,3.05,3.25,2.25,3,3.25,2.3,2.9,3.1,2.3,2.88,3.25,2.4,3,3.25,2.38
"131","20/11/10","Arsenal","Tottenham",2,3,1.62,4,5.5,1.6,3.75,5.25,1.65,3.75,5,1.7,3.5,4.4,1.67,3.75,5,1.62,4,5
"1361","20/11/10","Man United","Wigan",2,0,1.22,6,15,1.18,6.5,12,1.2,5.75,15,1.22,5.3,11,1.22,6,13,1.22,5.5,15
"1311","20/11/10","Arsenal","Tottenham",2,3,1.62,4,5.5,1.6,3.75,5.25,1.65,3.75,5,1.7,3.5,4.4,1.67,3.75,5,1.62,4,5
"1362","20/11/10","Man United","Wigan",2,0,1.22,6,15,1.18,6.5,12,1.2,5.75,15,1.22,5.3,11,1.22,6,13,1.22,5.5,15
"1301","14/11/10","Everton","Arsenal",1,2,3.4,3.3,2.2,3.1,3.25,2.2,3.2,3.2,2.2,3.2,3.2,2.1,3.25,3.25,2.25,3.3,3.2,2.25
"1302","14/11/10","Everton","Arsenal",1,2,3.4,3.3,2.2,3.1,3.25,2.2,3.2,3.2,2.2,3.2,3.2,2.1,3.25,3.25,2.25,3.3,3.2,2.25
"121","13/11/10","Aston Villa","Man United",2,2,4.5,3.6,1.8,4.25,3.45,1.8,4.25,3.4,1.83,3.7,3.3,1.9,4.5,3.5,1.8,4.5,3.3,1.85
"1211","13/11/10","Aston Villa","Man United",2,2,4.5,3.6,1.8,4.25,3.45,1.8,4.25,3.4,1.83,3.7,3.3,1.9,4.5,3.5,1.8,4.5,3.3,1.85
"114","10/11/10","Chelsea","Fulham",1,0,1.2,6.5,15,1.18,6.25,13,1.2,6.25,12,1.2,5.5,12,1.2,6.5,13,1.22,5.5,15
"116","10/11/10","Man City","Man United",0,0,2.63,3.25,2.75,2.5,3.2,2.7,2.6,3.25,2.6,2.65,3.3,2.4,2.62,3.3,2.62,2.7,3.1,2.7
"1191","10/11/10","Wigan","Liverpool",1,1,4.75,3.6,1.75,4.5,3.7,1.7,4.5,3.5,1.75,4.3,3.4,1.75,4.5,3.75,1.73,4.8,3.6,1.73
"1141","10/11/10","Chelsea","Fulham",1,0,1.2,6.5,15,1.18,6.25,13,1.2,6.25,12,1.2,5.5,12,1.2,6.5,13,1.22,5.5,15
"1161","10/11/10","Man City","Man United",0,0,2.63,3.25,2.75,2.5,3.2,2.7,2.6,3.25,2.6,2.65,3.3,2.4,2.62,3.3,2.62,2.7,3.1,2.7
"1192","10/11/10","Wigan","Liverpool",1,1,4.75,3.6,1.75,4.5,3.7,1.7,4.5,3.5,1.75,4.3,3.4,1.75,4.5,3.75,1.73,4.8,3.6,1.73
"109","07/11/10","Liverpool","Chelsea",2,0,3.8,3.4,2,3.75,3.3,1.95,3.75,3.2,2,3.2,3.2,2.1,3.75,3.4,2,3.75,3.1,2.1
"1091","07/11/10","Liverpool","Chelsea",2,0,3.8,3.4,2,3.75,3.3,1.95,3.75,3.2,2,3.2,3.2,2.1,3.75,3.4,2,3.75,3.1,2.1
"105","06/11/10","Fulham","Aston Villa",1,1,2.2,3.25,3.4,2.1,3.2,3.4,2.25,3.25,3.1,2.3,3.1,2.9,2.25,3.25,3.2,2.2,3.1,3.5
"1051","06/11/10","Fulham","Aston Villa",1,1,2.2,3.25,3.4,2.1,3.2,3.4,2.25,3.25,3.1,2.3,3.1,2.9,2.25,3.25,3.2,2.2,3.1,3.5
"94","30/10/10","Fulham","Wigan",2,0,1.91,3.4,4.2,1.85,3.4,4,1.9,3.3,4,1.9,3.3,3.7,1.83,3.5,4.33,1.83,3.4,4.5
"951","30/10/10","Man United","Tottenham",2,0,1.57,4,6,1.6,4,5.75,1.6,3.75,5.5,1.6,3.6,5,1.62,3.75,5.5,1.62,3.75,5.5
"941","30/10/10","Fulham","Wigan",2,0,1.91,3.4,4.2,1.85,3.4,4,1.9,3.3,4,1.9,3.3,3.7,1.83,3.5,4.33,1.83,3.4,4.5
"952","30/10/10","Man United","Tottenham",2,0,1.57,4,6,1.6,4,5.75,1.6,3.75,5.5,1.6,3.6,5,1.62,3.75,5.5,1.62,3.75,5.5
"89","24/10/10","Man City","Arsenal",0,3,2.5,3.2,2.9,2.3,3.3,2.95,2.4,3.2,2.9,2.2,3.2,3,2.38,3.25,3,2.5,3,3
"891","24/10/10","Man City","Arsenal",0,3,2.5,3.2,2.9,2.3,3.3,2.95,2.4,3.2,2.9,2.2,3.2,3,2.38,3.25,3,2.5,3,3
"84","23/10/10","Tottenham","Everton",1,1,2.1,3.25,3.75,1.95,3.3,3.75,2.05,3.3,3.5,1.95,3.2,3.6,2,3.4,3.75,2.05,3.2,3.8
"841","23/10/10","Tottenham","Everton",1,1,2.1,3.25,3.75,1.95,3.3,3.75,2.05,3.3,3.5,1.95,3.2,3.6,2,3.4,3.75,2.05,3.2,3.8
"79","17/10/10","Everton","Liverpool",2,0,2.4,3.25,3,2.45,3.3,2.95,2.4,3.2,2.9,2.5,3.2,2.6,2.38,3.25,3,2.4,3.2,3
"791","17/10/10","Everton","Liverpool",2,0,2.4,3.25,3,2.45,3.3,2.95,2.4,3.2,2.9,2.5,3.2,2.6,2.38,3.25,3,2.4,3.2,3
"721","16/10/10","Aston Villa","Chelsea",0,0,5,3.6,1.73,5.5,3.9,1.65,4.75,3.6,1.7,4.3,3.4,1.75,5,3.5,1.73,5,3.5,1.73
"74","16/10/10","Fulham","Tottenham",1,2,2.88,3.25,2.5,3,3.3,2.4,2.75,3.2,2.5,2.7,3.2,2.4,2.88,3.2,2.5,2.88,3.2,2.5
"722","16/10/10","Aston Villa","Chelsea",0,0,5,3.6,1.73,5.5,3.9,1.65,4.75,3.6,1.7,4.3,3.4,1.75,5,3.5,1.73,5,3.5,1.73
"741","16/10/10","Fulham","Tottenham",1,2,2.88,3.25,2.5,3,3.3,2.4,2.75,3.2,2.5,2.7,3.2,2.4,2.88,3.2,2.5,2.88,3.2,2.5
"68","03/10/10","Chelsea","Arsenal",2,0,1.73,3.6,5,1.65,3.75,4.75,1.75,3.5,4.5,1.75,3.4,4.3,1.73,3.5,5,1.73,3.75,4.5
"681","03/10/10","Chelsea","Arsenal",2,0,1.73,3.6,5,1.65,3.75,4.75,1.75,3.5,4.5,1.75,3.4,4.3,1.73,3.5,5,1.73,3.75,4.5
"64","02/10/10","Tottenham","Aston Villa",2,1,1.91,3.5,4,1.9,3.45,3.75,2,3.25,3.75,1.85,3.4,3.8,2,3.2,4,1.95,3.4,3.8
"641","02/10/10","Tottenham","Aston Villa",2,1,1.91,3.5,4,1.9,3.45,3.75,2,3.25,3.75,1.85,3.4,3.8,2,3.2,4,1.95,3.4,3.8
"54","25/09/10","Fulham","Everton",0,0,2.75,3.2,2.63,2.55,3.2,2.65,2.6,3.25,2.6,2.5,3.2,2.6,2.5,3.3,2.75,2.7,3.1,2.7
"56","25/09/10","Man City","Chelsea",1,0,3.6,3.3,2.1,3.65,3.25,2,3.4,3.25,2.1,3,3.2,2.2,3.4,3.2,2.2,3.4,3.2,2.2
"541","25/09/10","Fulham","Everton",0,0,2.75,3.2,2.63,2.55,3.2,2.65,2.6,3.25,2.6,2.5,3.2,2.6,2.5,3.3,2.75,2.7,3.1,2.7
"561","25/09/10","Man City","Chelsea",1,0,3.6,3.3,2.1,3.65,3.25,2,3.4,3.25,2.1,3,3.2,2.2,3.4,3.2,2.2,3.4,3.2,2.2
"491","19/09/10","Man United","Liverpool",3,2,1.7,3.5,5.5,1.65,3.6,5,1.7,3.5,5,1.75,3.4,4.3,1.73,3.5,5,1.67,3.5,5.5
"501","19/09/10","Wigan","Man City",0,2,5,3.6,1.73,5,3.6,1.65,4.5,3.5,1.75,4,3.4,1.8,5,3.5,1.73,4.8,3.6,1.73
"492","19/09/10","Man United","Liverpool",3,2,1.7,3.5,5.5,1.65,3.6,5,1.7,3.5,5,1.75,3.4,4.3,1.73,3.5,5,1.67,3.5,5.5
"502","19/09/10","Wigan","Man City",0,2,5,3.6,1.73,5,3.6,1.65,4.5,3.5,1.75,4,3.4,1.8,5,3.5,1.73,4.8,3.6,1.73
"321","11/09/10","Everton","Man United",3,3,4.2,3.4,1.91,4.25,3.4,1.8,4,3.5,1.85,3.8,3.4,1.85,4.33,3.5,1.83,4.2,3.3,1.91
"323","11/09/10","Everton","Man United",3,3,4.2,3.4,1.91,4.25,3.4,1.8,4,3.5,1.85,3.8,3.4,1.85,4.33,3.5,1.83,4.2,3.3,1.91
"271","29/08/10","Aston Villa","Everton",1,0,2.5,3.25,2.88,2.45,3.2,2.8,2.4,3.25,2.85,2.4,3.2,2.7,2.38,3.25,3,2.5,3.2,2.88
"275","29/08/10","Aston Villa","Everton",1,0,2.5,3.25,2.88,2.45,3.2,2.8,2.4,3.25,2.85,2.4,3.2,2.7,2.38,3.25,3,2.5,3.2,2.88
"25","28/08/10","Tottenham","Wigan",0,1,1.25,5.75,13,1.22,5.75,11.5,1.25,5.5,11,1.25,5,10,1.22,6,13,1.25,5.5,12
"252","28/08/10","Tottenham","Wigan",0,1,1.25,5.75,13,1.22,5.75,11.5,1.25,5.5,11,1.25,5,10,1.22,6,13,1.25,5.5,12
"20","23/08/10","Man City","Liverpool",3,0,2.38,3.25,3.1,2.25,3.2,3.05,2.3,3.25,3,2.4,3.2,2.7,2.38,3.25,3,2.4,3.1,3.1
"202","23/08/10","Man City","Liverpool",3,0,2.38,3.25,3.1,2.25,3.2,3.05,2.3,3.25,3,2.4,3.2,2.7,2.38,3.25,3,2.4,3.1,3.1
"18","22/08/10","Fulham","Man United",2,2,6,4,1.57,6.25,3.8,1.53,6,3.75,1.55,5.4,3.7,1.55,5.5,3.75,1.62,6,3.6,1.62
"184","22/08/10","Fulham","Man United",2,2,6,4,1.57,6.25,3.8,1.53,6,3.75,1.55,5.4,3.7,1.55,5.5,3.75,1.62,6,3.6,1.62
"17","21/08/10","Wigan","Chelsea",0,6,15,6,1.22,12.5,5.5,1.22,12,5.25,1.25,9,4.9,1.28,12,5.5,1.25,12,5.5,1.25
"174","21/08/10","Wigan","Chelsea",0,6,15,6,1.22,12.5,5.5,1.22,12,5.25,1.25,9,4.9,1.28,12,5.5,1.25,12,5.5,1.25
"92","15/08/10","Liverpool","Arsenal",1,1,2.5,3.25,2.88,2.45,3.25,2.75,2.5,3.25,2.75,2.4,3.2,2.7,2.4,3.3,2.88,2.5,3.2,2.88
"93","15/08/10","Liverpool","Arsenal",1,1,2.5,3.25,2.88,2.45,3.25,2.75,2.5,3.25,2.75,2.4,3.2,2.7,2.4,3.3,2.88,2.5,3.2,2.88
"6","14/08/10","Tottenham","Man City",0,0,2.4,3.3,3,2.35,3.3,2.85,2.35,3.3,2.85,2.4,3.2,2.7,2.3,3.3,3,2.38,3.25,3
"61","14/08/10","Tottenham","Man City",0,0,2.4,3.3,3,2.35,3.3,2.85,2.35,3.3,2.85,2.4,3.2,2.7,2.3,3.3,3,2.38,3.25,3
"3713","09/05/10","Arsenal","Fulham",4,0,1.2,7,13,1.18,6.5,12.5,1.2,6,13,1.15,6.2,14,1.17,7.5,13,1.17,7,15
"375","09/05/10","Chelsea","Wigan",8,0,1.1,10,23,1.1,8.75,17,1.1,8,21,1.05,10,25,1.08,10,26,1.1,9,21
"3701","05/05/10","Man City","Tottenham",0,1,2,3.4,3.8,1.9,3.5,3.7,2,3.4,3.5,1.9,3.3,3.7,2,3.5,3.6,2,3.4,3.75
"3652","02/05/10","Liverpool","Chelsea",0,2,4,3.8,1.83,3.6,3.6,1.9,3.8,3.6,1.85,3.8,3.4,1.85,4,3.4,1.91,4,3.6,1.85
"3603","01/05/10","Man City","Aston Villa",3,1,1.83,3.6,4.33,1.8,3.45,4.25,1.85,3.5,4,1.85,3.4,3.8,1.83,3.5,4.33,1.83,3.6,4.2
"358","25/04/10","Everton","Fulham",2,1,1.36,4.5,10,1.4,4.25,7.75,1.42,4.2,7.5,1.4,4.1,7,1.4,4.5,8,1.4,4.33,8.5
"349","24/04/10","Arsenal","Man City",0,0,2,3.5,3.75,2,3.7,3.6,1.95,3.5,3.6,1.9,3.4,3.55,1.83,3.5,4.2,1.95,3.5,3.8
"3522","24/04/10","Man United","Tottenham",3,1,1.5,4.2,7,1.48,4.6,6.5,1.45,4.33,6.5,1.45,3.9,6.5,1.5,4.2,6.5,1.44,4.5,6.5
"3462","18/04/10","Wigan","Arsenal",3,2,6.5,4,1.53,6.5,4,1.55,6,3.75,1.55,5.2,3.8,1.55,6.5,3.75,1.53,6,4,1.53
"341","17/04/10","Man City","Man United",0,1,2.88,3.5,2.4,2.85,3.5,2.4,2.75,3.4,2.4,2.7,3.2,2.4,2.8,3.3,2.5,2.7,3.4,2.5
"3442","17/04/10","Tottenham","Chelsea",2,1,4,3.6,1.91,3.8,3.6,1.95,4,3.3,1.9,3.3,3.3,2,4,3.4,1.91,4.2,3.5,1.85
"3352","14/04/10","Aston Villa","Everton",2,2,2.25,3.3,3.3,2.25,3.3,3,2.1,3.25,3.4,2.1,3.2,3.2,2.2,3.2,2.8,2.15,3.3,2.8
"3362","14/04/10","Tottenham","Arsenal",2,1,3.25,3.3,2.25,3,3.4,2.2,3.1,3.25,2.25,2.9,3.3,2.3,2.75,3.2,2.25,2.9,3.3,2.25
"3311","11/04/10","Liverpool","Fulham",0,0,1.29,5,13,1.3,4.75,10,1.3,5,9,1.3,4.8,9.5,1.33,4.5,11,1.3,4.8,11
"3272","04/04/10","Fulham","Wigan",2,1,2,3.4,3.8,1.9,3.3,3.95,1.9,3.3,4,2.1,3.25,3.4,1.91,3.25,3.4,2,3.3,3.8
"3211","03/04/10","Man United","Chelsea",1,2,2.63,3.2,2.75,2.5,3.2,2.7,2.55,3.2,2.7,2.5,3.1,2.8,2.4,3.3,2.8,2.62,3.1,2.75
"317","29/03/10","Man City","Wigan",3,0,1.33,4.75,11,1.3,4.75,10,1.33,4.5,9.5,1.35,4.7,8,1.33,4,8,1.33,4.8,9.5
"310","27/03/10","Chelsea","Aston Villa",7,1,1.4,4.75,8,1.4,4.4,7.25,1.42,4,8,1.35,4.7,8,1.36,3.75,8,1.36,4.6,8.5
"3062","24/03/10","Man City","Everton",0,2,1.83,3.5,4.33,1.8,3.6,4,1.83,3.4,4.25,1.8,3.4,4.3,1.8,3.3,3.75,1.8,3.3,3.75
"3012","21/03/10","Fulham","Man City",1,2,3.1,3.25,2.38,2.95,3.25,2.3,3.1,3.2,2.25,2.85,3.2,2.4,3.1,3.3,2.25,3.1,3.3,2.3
"302","21/03/10","Man United","Liverpool",2,1,1.67,3.75,5.5,1.65,3.6,5,1.7,3.5,5,1.7,3.5,4.9,1.67,3.75,5,1.67,3.5,5.5
"2921","16/03/10","Wigan","Aston Villa",1,2,3.6,3.3,2.1,3.45,3.3,2.05,3.4,3.25,2.1,3.2,3.2,2.2,3.3,3.25,2.2,3.4,3.25,2.15
"289","14/03/10","Man United","Fulham",3,0,1.22,6,15,1.25,5.25,11,1.22,5.5,13,1.22,5.3,13,1.2,6,15,1.22,5.5,15
"2781","08/03/10","Wigan","Liverpool",1,0,6.5,3.8,1.57,5.75,3.5,1.6,5.75,3.35,1.65,5.3,3.5,1.65,6,3.6,1.62,6,3.6,1.62
"2731","28/02/10","Tottenham","Everton",2,1,2,3.4,4,1.9,3.4,3.85,1.95,3.35,3.75,1.9,3.3,3.9,1.91,3.4,4,1.91,3.4,4
"2691","27/02/10","Chelsea","Man City",2,4,1.44,4.33,7.5,1.4,4.1,8,1.45,4,7.5,1.45,4,7,1.44,4.2,7.5,1.44,4.2,7.5
"263","21/02/10","Man City","Liverpool",0,0,2.4,3.3,3,2.5,3.3,2.85,2.4,3.25,2.85,2.4,3.3,2.8,2.5,3.3,2.8,2.4,3.2,2.7
"2642","21/02/10","Wigan","Tottenham",0,3,3.75,3.5,2,3.85,3.4,2,3.6,3.3,2,3.35,3.3,2.1,3.75,3.4,2,3.4,3.25,2
"2561","20/02/10","Everton","Man United",3,1,4.5,3.6,1.8,4.75,3.55,1.78,4.33,3.4,1.8,4.3,3.4,1.8,5,3.5,1.73,4.6,3.25,1.73
"247","10/02/10","Arsenal","Liverpool",1,0,2.1,3.3,3.6,2,3.3,3.55,2.1,3.2,3.5,2.1,3.25,3.4,2,3.4,3.75,2,3.3,3.75
"248","10/02/10","Aston Villa","Man United",1,1,4.2,3.5,1.91,4.2,3.5,1.8,4,3.3,1.9,3.9,3.3,1.9,4,3.4,1.91,4,3.5,1.91
"250","10/02/10","Everton","Chelsea",2,1,5,3.6,1.73,5.25,3.75,1.6,5,3.6,1.67,4.9,3.5,1.7,5,3.5,1.73,5,3.5,1.73
"2421","07/02/10","Chelsea","Arsenal",2,0,1.8,3.6,4.5,1.8,3.55,4.65,1.8,3.3,4.5,1.7,3.5,4.9,1.8,3.5,4.5,1.8,3.3,4.8
"2362","06/02/10","Liverpool","Everton",1,0,1.83,3.5,4.33,1.85,3.45,4.5,1.85,3.4,4.1,1.75,3.5,4.6,1.8,3.5,4.5,1.83,3.4,4.5
"2401","06/02/10","Tottenham","Aston Villa",0,0,2.1,3.3,3.6,2.1,3.3,3.65,2.1,3.25,3.4,2.1,3.25,3.4,2,3.4,3.75,2.05,3.3,3.6
"2281","31/01/10","Arsenal","Man United",1,3,2.6,3.25,2.8,2.4,3.3,2.75,2.6,3.25,2.6,2.3,3.2,3,2.6,3.2,2.75,2.6,3.25,2.7
"2232","30/01/10","Fulham","Aston Villa",0,2,2.7,3.2,2.7,2.6,3.2,2.6,2.6,3.25,2.6,2.6,3.2,2.6,2.62,3.3,2.62,2.6,3.2,2.7
"2271","30/01/10","Wigan","Everton",0,1,3,3.3,2.38,2.9,3.2,2.35,3,3.2,2.3,2.85,3.2,2.4,2.9,3.3,2.38,3,3.25,2.37
"2173","27/01/10","Aston Villa","Arsenal",0,0,3.2,3.25,2.3,3.25,3.25,2.15,3.1,3.2,2.25,3.4,3.25,2.1,2.75,3.2,2.25,3,3.2,2.1
"215","26/01/10","Tottenham","Fulham",2,0,1.57,3.75,6.5,1.6,3.45,6,1.57,3.75,5.75,1.57,3.6,6,1.44,3.75,6,1.5,3.4,6
"2111","20/01/10","Liverpool","Tottenham",2,0,2.4,3.25,3,2.3,3.3,2.9,2.4,3.25,2.85,2.3,3.3,2.9,2.1,3.2,3,2.4,3.3,2.9
"2021","16/01/10","Everton","Man City",2,0,2.88,3.25,2.5,3,3.3,2.25,2.85,3.2,2.4,2.7,3.2,2.5,2.8,3.3,2.5,2.8,3.3,2.5
"198","09/01/10","Arsenal","Everton",2,2,1.4,4.5,8.5,1.4,4.15,8,1.4,4.2,8,1.4,4.3,7.5,1.36,4.5,9,1.4,4.5,8
"1951","30/12/09","Man United","Wigan",5,0,1.2,6.5,15,1.18,6,15,1.2,6,13,1.22,5.3,13,1.2,6.5,13,1.22,5.5,15
"193","29/12/09","Aston Villa","Liverpool",0,1,2.8,3.25,2.6,2.65,3.2,2.55,2.7,3.25,2.5,2.6,3.2,2.6,2.62,3.3,2.6,2.7,3.2,2.62
"188","28/12/09","Chelsea","Fulham",2,1,1.36,4.5,10,1.35,4.6,8,1.4,4.25,8,1.4,4.3,7.5,1.33,4,8,1.25,4.8,8.5
"185","27/12/09","Arsenal","Aston Villa",3,0,1.73,3.5,5,1.6,3.75,5.25,1.73,3.5,4.75,1.65,3.5,5.3,1.73,3.5,5,1.57,3.5,5
"179","26/12/09","Fulham","Tottenham",0,0,2.8,3.4,2.5,2.8,3.2,2.45,2.75,3.3,2.45,2.85,3.2,2.4,2.8,3.3,2.5,2.75,3.2,2.25
"1711","19/12/09","Fulham","Man United",3,0,6.5,4,1.57,6.35,4,1.55,5.75,3.75,1.57,6,3.7,1.55,6.5,3.6,1.57,6.5,4,1.53
"166","16/12/09","Liverpool","Wigan",2,1,1.33,4.75,11,1.3,4.75,10,1.33,4.5,10,1.35,4.5,8.5,1.33,5,9,1.33,4.5,11
"1672","16/12/09","Tottenham","Man City",3,0,2.25,3.3,3.25,2.25,3.3,3,2.25,3.25,3.1,2.1,3.3,3.35,2.25,3.3,3.2,2.25,3.4,3.1
"1592","13/12/09","Liverpool","Arsenal",1,2,2.2,3.3,3.4,2.2,3.3,3.4,2.15,3.25,3.3,2.2,3.2,3.2,2.1,3.4,3.4,2.15,3.25,3.4
"153","12/12/09","Chelsea","Everton",3,3,1.25,5.5,15,1.25,5,12,1.25,5,12.5,1.27,4.9,11,1.25,5.5,12,1.22,5.5,15
"155","12/12/09","Man United","Aston Villa",0,1,1.5,4.2,7,1.42,4.25,7,1.44,4,7.5,1.4,4.3,7.5,1.44,4,8,1.5,4,7
"148","06/12/09","Everton","Tottenham",2,2,2.88,3.25,2.5,2.6,3.35,2.5,2.75,3.25,2.45,2.6,3.2,2.6,3,3.4,2.3,2.8,3.3,2.5
"1431","05/12/09","Man City","Chelsea",2,1,4.2,3.4,1.91,4.3,3.45,1.8,4,3.4,1.87,3.9,3.3,1.9,4.33,3.5,1.83,4.33,3.5,1.83
"137","29/11/09","Arsenal","Chelsea",0,3,2.7,3.2,2.7,2.6,3.1,2.7,2.55,3.2,2.7,2.6,3.2,2.6,2.62,3.3,2.62,2.62,3.2,2.7
"1381","29/11/09","Everton","Liverpool",0,2,3.5,3.4,2.1,3.3,3.3,2.1,3.4,3.25,2.1,3.35,3.3,2.1,3.3,3.3,2.2,3.6,3.25,2.1
"1303","28/11/09","Aston Villa","Tottenham",1,1,2.5,3.25,2.88,2.35,3.35,2.8,2.45,3.25,2.75,2.6,3.2,2.6,2.38,3.4,2.88,2.5,3.3,2.8
"127","22/11/09","Tottenham","Wigan",9,1,1.44,4.33,8,1.45,3.85,7.5,1.45,4,7.25,1.5,3.9,6.5,1.5,4,7,1.44,4,8
"122","21/11/09","Liverpool","Man City",2,2,1.91,3.4,4.2,1.9,3.5,4.2,1.9,3.3,4,1.9,3.3,3.9,1.83,3.4,4.5,1.95,3.3,4
"123","21/11/09","Man United","Everton",3,0,1.4,4.5,9,1.38,4.6,9,1.4,4.2,8,1.35,4.5,8.5,1.4,4.5,8,1.4,4.2,9
"113","08/11/09","Chelsea","Man United",1,0,2,3.25,4,1.95,3.3,3.75,2.05,3.25,3.6,2.1,3.15,3.5,2.1,3.2,3.6,2.05,3.25,3.75
"1162","08/11/09","Wigan","Fulham",1,1,2.25,3.2,3.4,2.2,3.3,3.1,2.3,3.25,3,2.2,3.2,3.2,2.3,3.3,3.1,2.37,3.25,3
"971","31/10/09","Arsenal","Tottenham",3,0,1.57,4,6,1.5,4,6,1.57,4,5.25,1.6,3.6,5.6,1.62,3.75,5.5,1.57,3.8,6
"1001","31/10/09","Everton","Aston Villa",1,1,2.5,3.25,2.88,2.4,3.25,2.8,2.5,3.2,2.75,2.4,3.3,2.8,2.62,3.3,2.62,2.4,3.3,2.9
"1011","31/10/09","Fulham","Liverpool",3,1,4.2,3.4,1.91,4.1,3.35,1.85,4,3.3,1.9,3.9,3.3,1.9,4.33,3.5,1.83,4.33,3.4,1.85
"942","25/10/09","Liverpool","Man United",2,0,3,3.25,2.4,2.85,3.3,2.55,2.75,3.2,2.5,2.7,3.2,2.5,2.8,3.3,2.5,2.88,3.2,2.5
"953","25/10/09","Man City","Fulham",2,2,1.44,4.2,8,1.45,4,7.25,1.45,4,7.5,1.4,4.3,7.5,1.4,4.5,8,1.44,4,8
"85","18/10/09","Wigan","Man City",1,1,5,3.6,1.73,5,3.6,1.65,4.75,3.5,1.72,4.6,3.5,1.75,5,3.5,1.73,5,3.5,1.73
"78","17/10/09","Aston Villa","Chelsea",2,1,4.5,3.6,1.8,4.1,3.55,1.8,4.33,3.4,1.8,4,3.4,1.85,4.5,3.5,1.8,4.6,3.4,1.8
"76","05/10/09","Aston Villa","Man City",1,1,2.75,3.25,2.63,2.6,3.3,2.4,2.6,3.25,2.6,2.6,3.2,2.6,2.62,3.3,2.62,2.62,3.3,2.62
"73","04/10/09","Chelsea","Liverpool",2,0,2.1,3.3,3.6,2.05,3.25,3.25,2.15,3.25,3.3,2.1,3.2,3.45,2.1,3.2,3.6,2.1,3.1,3.1
"59","26/09/09","Fulham","Arsenal",0,1,6.5,4,1.53,5.65,3.85,1.5,6,3.75,1.55,6,3.7,1.55,6.5,3.6,1.57,7.5,3.75,1.5
"642","26/09/09","Wigan","Chelsea",3,1,10,5,1.33,8.5,4.6,1.3,9.5,4.5,1.33,8.5,4.5,1.35,11,5,1.29,10,5,1.3
"532","20/09/09","Chelsea","Tottenham",3,0,1.5,4,7,1.4,4.05,7,1.5,3.75,7,1.55,3.7,6,1.5,4,7,1.44,4.2,7.5
"55","20/09/09","Man United","Man City",4,3,1.57,4,6,1.6,3.55,5.1,1.6,3.75,5.5,1.6,3.6,5.6,1.62,3.75,5.5,1.62,3.75,5.5
"472","19/09/09","Arsenal","Wigan",4,0,1.25,5.5,13,1.25,5,10,1.22,5.5,13,1.22,5.3,13,1.22,6.5,11,1.22,5.5,15
"462","13/09/09","Fulham","Everton",2,1,2.6,3.2,2.8,2.4,3.15,2.7,2.6,3.1,2.7,2.4,3.2,2.85,2.5,3.3,2.8,2.62,3.2,2.7
"39","12/09/09","Man City","Arsenal",4,2,2.88,3.25,2.5,2.8,3.2,2.3,2.8,3.25,2.45,2.7,3.2,2.5,3,3.25,2.38,2.9,3.3,2.4
"431","12/09/09","Tottenham","Man United",1,3,3.1,3.4,2.3,3,3.2,2.2,3.1,3.2,2.25,3,3.1,2.35,3.1,3.4,2.25,3.1,3.3,2.3
"34","30/08/09","Aston Villa","Fulham",2,0,1.73,3.6,5.25,1.65,3.5,4.75,1.73,3.5,4.75,1.77,3.45,4.45,1.73,3.4,4,1.73,3.4,5.25
"35","30/08/09","Everton","Wigan",2,1,1.73,3.6,5.25,1.65,3.4,5,1.75,3.5,4.5,1.7,3.5,4.9,1.8,3.2,4,1.75,3.3,5.25
"30","29/08/09","Man United","Arsenal",2,1,2.2,3.3,3.5,2.05,3.3,3.2,2.1,3.25,3.4,2,3.3,3.6,2,3,3.5,2.15,3.2,3.5
"265","24/08/09","Liverpool","Aston Villa",1,3,1.44,4.2,8,1.4,4,7.25,1.42,4,8,1.4,4.3,7.5,1.4,4.5,8,1.44,4,8
"24","23/08/09","Fulham","Chelsea",0,2,6.5,3.8,1.57,6.25,3.6,1.5,6.5,3.6,1.55,6,3.7,1.55,7,3.75,1.53,7,3.5,1.57
"22","22/08/09","Wigan","Man United",0,5,6.5,4,1.53,6,3.6,1.52,6.5,3.75,1.53,5.6,3.6,1.6,7,4,1.5,7,3.75,1.53
"103","16/08/09","Tottenham","Liverpool",2,1,3.2,3.25,2.3,3.25,3.15,2.1,3.1,3.2,2.25,3.1,3.1,2.3,3,3.2,2.1,3.2,3.2,2.3
"1","15/08/09","Aston Villa","Wigan",0,2,1.67,3.6,5.5,1.65,3.4,5,1.67,3.5,5.25,1.7,3.5,4.9,1.67,3.3,4.5,1.7,3.4,5.5
"5","15/08/09","Everton","Arsenal",1,6,3.2,3.25,2.3,2.95,3.15,2.25,3,3.25,2.3,3.1,3.1,2.3,2.88,3,2.25,3.2,3.2,2.3
"3742","24/05/09","Fulham","Everton",0,2,2.1,3.3,3.6,2.05,3.2,3.3,2.1,3.2,3.3,2.1,3.4,3.25,2.1,3.3,3.5,2.15,3.3,3.4
"376","24/05/09","Liverpool","Tottenham",3,1,1.53,4,6.5,1.45,3.85,6.65,1.53,3.75,6,1.6,3.7,5.3,1.53,4,6,1.53,4,6
